n,t,rho,real_part,imag_part,hardy_z,zeta_real,zeta_imag,zeta_error,real_error,tolerance,pass
52,147.422765342559602049521185010431506168772775250476830601010461250088031971886619538579435,(0.5 + 147.422765342559602049521185010431506168772775250476830601010461250088031971886619538579435j),0.5,147.422765342559602049521185010431506168772775250476830601010461250088031971886619538579435,-1.2321002410703655192623139379147825668854447645591334534352011274201609947796616362684897e-60,-2.00499474730185567462661416084412701912214234513623023643315097962635925235132322828926289e-61,1.21567716301597625534921287039081157403578902915390374867017632849732740295799622422954259e-60,1.23210024107036551926231402612570134077853761961162705800503761350624150814410682098553977e-60,0.0,1e-50,True
53,150.053520420784880351432467236959370623037321559528200448429111337168103242312793209339208,(0.5 + 150.053520420784880351432467236959370623037321559528200448429111337168103242312793209339208j),0.5,150.053520420784880351432467236959370623037321559528200448429111337168103242312793209339208,1.00621141244137803226332109096335624248248781477133307830469542049419328152889279683229523e-61,7.60704478575188345207106061638619643239793771124034195134962537929697183590366842211541163e-62,6.58627438543918990148517981364062048843227077398381631739595320466793630109813375615867722e-62,1.00621141244137803226332173873516083295996921647988779241056426588198491701101873494619184e-61,0.0,1e-50,True
54,150.925257612241466761852524678305627602426770472996717700311355141100681134272843712245034,(0.5 + 150.925257612241466761852524678305627602426770472996717700311355141100681134272843712245034j),0.5,150.925257612241466761852524678305627602426770472996717700311355141100681134272843712245034,-2.97041381681189671392123653801350747755884574857891381266307489712651437347154321065884515e-61,-2.32694358604850182699632655216212548578214097676350887531462954949979656434280649855126541e-61,1.84626427968878790810936468822635849058511411828992543417534530523728734701838411120034631e-61,2.97041381681189671392123656656302963272314645035496303601644900724954854098960021262675977e-61,0.0,1e-50,True
55,153.024693811198896198256544255185446508590434904145506675199767423696637148262678635764184,(0.5 + 153.024693811198896198256544255185446508590434904145506675199767423696637148262678635764184j),0.5,153.024693811198896198256544255185446508590434904145506675199767423696637148262678635764184,-5.94291453108623905333887092061101245958287398687387803281112217127647158818231216574969676e-61,3.81690585558331694369634233807392143456843533644935745203673099011491036202835204103724725e-61,-4.55515782530196859771812067671735008656811274266081997909263470889785844785291484067298894e-61,5.94291453108623905333886960040604116087944808950142539086991686887081879906558979110657061e-61,0.0,1e-50,True
56,156.112909294237867569750189310169194746535308500942920803856078040473890405782160276184521,(0.5 + 156.112909294237867569750189310169194746535308500942920803856078040473890405782160276184521j),0.5,156.112909294237867569750189310169194746535308500942920803856078040473890405782160276184521,3.65050802432606946385005893617957261369394776599094281190609510557808214666033456445327566e-61,-3.2637983378276980586293708163785204872168258043641709353916258068105680240339909607707896e-61,-1.63518477416534743740849949617735434237486033438157767892476229043654491092682628886726592e-61,3.65050802432606946385005854248709624246885728483448327609776495859557466581776275424487434e-61,0.0,1e-50,True
57,157.597591817594059887530503158498765730723899519141733538249617233142651140841637282869922,(0.5 + 157.597591817594059887530503158498765730723899519141733538249617233142651140841637282869922j),0.5,157.597591817594059887530503158498765730723899519141733538249617233142651140841637282869922,-6.56537417107676467895940024713066185764492461308511107284804584852574357167745943859506358e-61,-2.2709158991134740598399704080928937283564539595915532376998660305492524661742576507222642e-61,-6.16012004634613891285960322702263356708784241088487321355518640232825541442368029750569159e-61,6.56537417107676467895940017467655024709355187681863383666842271139397236645122279648199713e-61,0.0,1e-50,True
58,158.849988171420498724174994775540271414335083049426966257724183752305881286367202665534113,(0.5 + 158.849988171420498724174994775540271414335083049426966257724183752305881286367202665534113j),0.5,158.849988171420498724174994775540271414335083049426966257724183752305881286367202665534113,-7.2778914389355066521826743810932221128053221886185249982777203742348560280158680114755602e-61,-5.05701674918974168974246107133531872183061667208220977402028503530614903566626621748527179e-61,5.23395504330569854638203204060962367637527124359696927010999327229255188885856032963221942e-61,7.27789143893550665218267488323912794290946182374759003147075019453735779889924514072208785e-61,0.0,1e-50,True
59,161.188964137596027519437344129369554364915790327475466579188093598671058521022002558355016,(0.5 + 161.188964137596027519437344129369554364915790327475466579188093598671058521022002558355016j),0.5,161.188964137596027519437344129369554364915790327475466579188093598671058521022002558355016,-7.01794970229608635148542915453523882656441130202751456268207727132550294545310768837601005e-61,8.65833501316182151975988550170996444180024702667866143316365350421644465769705785666424332e-62,-6.96433416573015168296445951900912358999639337692621536655554498584269421784754156699762166e-61,7.01794970229608635148542859936262305286316279433575334058517825388016697734453735573823798e-61,0.0,1e-50,True
60,163.030709687181987243311039000687994896964461416477683115209591563184077331894495003936757,(0.5 + 163.030709687181987243311039000687994896964461416477683115209591563184077331894495003936757j),0.5,163.030709687181987243311039000687994896964461416477683115209591563184077331894495003936757,5.46056868897457097358227987128511004222845481034454751610820993488447591613207542960255508e-61,1.46748130875186596459192741335898260024149011517834527214298072610870850995125475969803466e-61,-5.2596871594680776667081860171726307614286764438837239355260488872549610770623816091698629e-61,5.46056868897457097358228055598082853543931361746978988835834980340929072380294069836918883e-61,0.0,1e-50,True
61,165.537069187900418830038919354874797328367251745068604478953154201684807161560469978523055,(0.5 + 165.537069187900418830038919354874797328367251745068604478953154201684807161560469978523055j),0.5,165.537069187900418830038919354874797328367251745068604478953154201684807161560469978523055,-1.37094553590588805294915805007305787217266349242746804328126820713890207539078032719889082e-60,-8.58126663355153411958004124938536343581191442058101511114077083675803435529826292279232722e-61,-1.06916336079162093356605777884487049356102564971410715139584595017092370006591322812422558e-60,1.3709455359058880529491579945678556912594883307863018000143618139215185556715987697722773e-60,0.0,1e-50,True
62,167.184439978174513440957756246210378736460769242616767361106993304435609234222632418857635,(0.5 + 167.184439978174513440957756246210378736460769242616767361106993304435609234222632418857635j),0.5,167.184439978174513440957756246210378736460769242616767361106993304435609234222632418857635,3.2167959859318321404907564859834844036819498702930176816892423911070298672239086341824227e-61,-7.4388158322632622280374851622810089201225086763019680298903791843415585692138329789686057e-62,-3.12960326642912396732123890874881188086464796599091357134592511600975974986982139222226804e-61,3.21679598593183214049075592985592850241613502653241031745584478428440144764113513236453629e-61,0.0,1e-50,True
63,169.094515415568821489505871181431834796667648580441625087382148995690779671137183456951801,(0.5 + 169.094515415568821489505871181431834796667648580441625087382148995690779671137183456951801j),0.5,169.094515415568821489505871181431834796667648580441625087382148995690779671137183456951801,-1.93839779333826087434810951382190976165985618207081457567450667613104022109081990604727794e-61,-4.43594163278897623886490080700806063233318442435393144511726031729265730604396958356371035e-62,-1.88695792839255794271491380650672268079539032511918612948654513756447416232149119900481674e-61,1.93839779333826087434810932397840848175748510256843534711004370352807257627436266345883217e-61,0.0,1e-50,True
64,169.911976479411698966699843595821792288394437125341373018541441933704676774435365853637053,(0.5 + 169.911976479411698966699843595821792288394437125341373018541441933704676774435365853637053j),0.5,169.911976479411698966699843595821792288394437125341373018541441933704676774435365853637053,-6.44943310673568471965413284951348691437443342616300585282554123451717450184167791453707045e-61,-6.44928137184538365533071625344842305905979810105670119385176688701277865757625711586422519e-61,4.42400839333770761936818464716608365231764386334797432083855413520209379784566949136369883e-63,6.44943310673568471965413329284031700125779734151077974495795011304056756285106218438421081e-61,0.0,1e-50,True
65,173.411536519591552959846118649345595254156066063420117933682285321334200100817722085200834,(0.5 + 173.411536519591552959846118649345595254156066063420117933682285321334200100817722085200834j),0.5,173.411536519591552959846118649345595254156066063420117933682285321334200100817722085200834,-2.44737303199114925870495297721943455790886534442411841520567607992327055895472209216076644e-61,-2.16089261894983369803768406231735631887333449706746948807566300174236002193605689601430957e-61,-1.14898992471025598421238562634110725939991215589794729453878175863366369994433194461645615e-61,2.44737303199114925870495224834780153094411631005103476028626949952444745041623176870283163e-61,0.0,1e-50,True
66,174.754191523365725813378762455866917938755717620571663445611547837483343028017451849402705,(0.5 + 174.754191523365725813378762455866917938755717620571663445611547837483343028017451849402705j),0.5,174.754191523365725813378762455866917938755717620571663445611547837483343028017451849402705,-9.40995539142965947882907040886003558647828658148998164150371950482975672790906300235182882e-61,1.59587985608648595006359642532914620066208997535069129142188344793113616963236319912342232e-61,9.27364156918054995151394045216942163411203110060547980558793501702393229526496782070994831e-61,9.40995539142965947882907062898387841713820205138827650864325303004940349604670144433052954e-61,0.0,1e-50,True
67,176.441434297710418888892641057860933528118497108809715347612615869956598682124509737277851,(0.5 + 176.441434297710418888892641057860933528118497108809715347612615869956598682124509737277851j),0.5,176.441434297710418888892641057860933528118497108809715347612615869956598682124509737277851,2.22554331776063536316500791855554842446045386683549595517214212850679366103305816271409074e-61,-3.58194401500195602251935469636424951177097464658806908405718081769282629230207770877907959e-62,2.19652904145675548552611151563769213865909321391843701123315565218535789224400479333632711e-61,2.22554331776063536316500862504955333074893179489035104139546099416031429236392766467792131e-61,0.0,1e-50,True
68,178.377407776099977285830935414184426183132361461272503701489041021938201929014603382899593,(0.5 + 178.377407776099977285830935414184426183132361461272503701489041021938201929014603382899593j),0.5,178.377407776099977285830935414184426183132361461272503701489041021938201929014603382899593,-6.1542025793949313705440713243545130888386198918170448521866975061471007504815090946071932e-61,-4.28039692183299889401413119195765443331444175708437369679611397567394788451563517671499249e-62,6.13929893474384031308872835449776387427348451500662900776904374816276327622490083443715202e-61,6.15420257939493137054407230405607269959655994318691022882637281602255883378535012975570984e-61,0.0,1e-50,True
69,179.916484020256996139340036612051237453687607553018406541300670513435311044112721978858362,(0.5 + 179.916484020256996139340036612051237453687607553018406541300670513435311044112721978858362j),0.5,179.916484020256996139340036612051237453687607553018406541300670513435311044112721978858362,-4.92208492548314593387507471434787825317582926453087872970578452662135364500104597340347915e-61,2.91173305159332022710232945284831590384747835538775844624961419355213309564284828936004763e-61,-3.96846704029748462129530929383004264905799479685629447818695955187901019679220988262979876e-61,4.92208492548314593387507300380587513051640360123901437639143004803609589849113014455526501e-61,0.0,1e-50,True
70,182.207078484366461915407037226987798690797457778239908766630064788604544971848405827633721,(0.5 + 182.207078484366461915407037226987798690797457778239908766630064788604544971848405827633721j),0.5,182.207078484366461915407037226987798690797457778239908766630064788604544971848405827633721,-1.24472008105016881915347040216057719821114910262025407179614544550687535631473784281498646e-60,9.28933438960685469229834461030422188479773382348687037579178235422466154672382787219838436e-62,1.24124893024298134889818028812046493122109654990386611662753398427906667668950586022428737e-60,1.2447200810501688191534705308250642803605072036592809198188496389878198084477831659291677e-60,0.0,1e-50,True
71,184.874467848387508800960646617234258413351022911950667773178644752746147991057063653715765,(0.5 + 184.874467848387508800960646617234258413351022911950667773178644752746147991057063653715765j),0.5,184.874467848387508800960646617234258413351022911950667773178644752746147991057063653715765,1.07659199747893527985556115571237349181786191695554375889585716129250149366080862792003963e-61,1.06649413141774213781064945789603290127320435278924145229851038808558808801300635488740485e-61,1.47107432467566200497118747107915192375973380906552405560384852828672588066897237741982388e-62,1.07659199747893527985556158658715417291061763030781105318195273143872388459517674100838551e-61,0.0,1e-50,True
72,185.598783677707471466527704268392646612934717649513283088919796510687293257705604937096947,(0.5 + 185.598783677707471466527704268392646612934717649513283088919796510687293257705604937096947j),0.5,185.598783677707471466527704268392646612934717649513283088919796510687293257705604937096947,-3.45662193139470073914380997242745727509995335557414122799271772393241665922126881220189465e-61,-1.60359026824701277101930917925151432686084415131201488294721300411999741737290326448603994e-61,3.06214523303227811614217853886070601482773461700524734965924104385083999394807758524670779e-61,3.45662193139470073914380984094723663890365757662351394841583962263399218219266724702264337e-61,0.0,1e-50,True
73,187.228922583501851991641540586131243016810734603990319151464202730928693607275086589170529,(0.5 + 187.228922583501851991641540586131243016810734603990319151464202730928693607275086589170529j),0.5,187.228922583501851991641540586131243016810734603990319151464202730928693607275086589170529,-1.22731658904125061912801747314727921449563132244086930086428544532036431025578271870877605e-60,9.30792149134579771037144585259516403275533081410015755168397234473993844130390295559268486e-61,-7.99957489398830661211556843064198457986525016414880866936514747302394290948300285735295335e-61,1.22731658904125061912801740517664332539972153264223670470963078530811440113107115753922336e-60,0.0,1e-50,True
74,189.416158656016937084852289099845324491357103023193354355419942657215356230095766507208128,(0.5 + 189.416158656016937084852289099845324491357103023193354355419942657215356230095766507208128j),0.5,189.416158656016937084852289099845324491357103023193354355419942657215356230095766507208128,-2.42305821794793993591449547347599304715841796135651341235184734792348818162026024800431755e-60,-6.78568733411602578128304550003342073458425755513930289409910419042759774308655789897662107e-61,2.3261030935023537392882105131308525141052068009582524257124142415232690587775513578078001e-60,2.42305821794793993591449567006472971564297895858997733703547295355545795264271609811267177e-60,0.0,1e-50,True
75,192.026656360713786547283631425583430105839920297977096916289123084886150791691378327499383,(0.5 + 192.026656360713786547283631425583430105839920297977096916289123084886150791691378327499383j),0.5,192.026656360713786547283631425583430105839920297977096916289123084886150791691378327499383,-9.61966908872757770013622181430521069885704786936282422559513885040168137784325393420121572e-61,-8.24338915268575662559309322044147602066828347344664486439217631406842334790862857963029937e-61,-4.95828283319978314905899676691047958503174482909412193745197064503622434251058197549974721e-61,9.61966908872757770013622084651019991322094840592929489811828273965328904266498609642220361e-61,0.0,1e-50,True
76,193.079726603845704047402205794376054604020615810548860138504355990811592017432781523803204,(0.5 + 193.079726603845704047402205794376054604020615810548860138504355990811592017432781523803204j),0.5,193.079726603845704047402205794376054604020615810548860138504355990811592017432781523803204,-3.82329516689332561416835867956386285533798624454870867557198492082080404466632332684388601e-61,-1.16722109116102229552553618123929145768192725470343210818627323517159237805262610282912557e-61,3.64076652060232160137527433984941781129821188599203606267118049991763598431392739943924395e-61,3.82329516689332561416835949078541987963411602838097802761845835445446358112993174087298928e-61,0.0,1e-50,True
77,195.265396679529235321463187814862250926905052452286924060110977035250554562742433186222833,(0.5 + 195.265396679529235321463187814862250926905052452286924060110977035250554562742433186222833j),0.5,195.265396679529235321463187814862250926905052452286924060110977035250554562742433186222833,1.14879149573827977696842347064741746801418676946655856368383191804611221582624587544142084e-60,3.36779903398628358858887557186614762168291973057521770068599681212777582455180460292567898e-61,1.09831743924395766363279522086960146530712965586579610550781742846607011882162029259949384e-60,1.14879149573827977696842355724415729451568116960950788419263531412474447397479231047230817e-60,0.0,1e-50,True
78,196.876481840958316948622263914696207735746028691942215482823173543413984225614383812276576,(0.5 + 196.876481840958316948622263914696207735746028691942215482823173543413984225614383812276576j),0.5,196.876481840958316948622263914696207735746028691942215482823173543413984225614383812276576,-7.89067028122297425272841112164268748000181552161887174416246292658101399381077147901252822e-61,-5.71697387165243100879172791767322971208622263528008569311081511640356595815863620833721678e-62,7.86993262896728269780853381567098459925362211137961214645078187675382920078956993244050005e-61,7.8906702812229742527284111026219365995523937671523298068299803169666892921718584961382861e-61,0.0,1e-50,True
79,198.015309676251912424919918702208867155062695438570996721534801669709085226841283901329587,(0.5 + 198.015309676251912424919918702208867155062695438570996721534801669709085226841283901329587j),0.5,198.015309676251912424919918702208867155062695438570996721534801669709085226841283901329587,2.38326473143812229428340321269977426771732910831742184767714878550735959770441328256414041e-61,-2.26243612578607551534134130813012542813192558371838530808510258448239609049956417914408678e-61,7.49221967680418640207503748212564745657634570813110548607458359073515118795579279522936164e-62,2.38326473143812229428340416974452236566835533337047707859334813340139963228228190554508881e-61,0.0,1e-50,True
80,201.264751943703788733016133427548173222402863639186734080632720277435639230440625154669601,(0.5 + 201.264751943703788733016133427548173222402863639186734080632720277435639230440625154669601j),0.5,201.264751943703788733016133427548173222402863639186734080632720277435639230440625154669601,-1.61660834363564857002238617011304203169529398026689285134139932224406270297657285696946691e-60,1.52184699938624103744518759351264117187112475715498736061992906087550120523084279470964108e-60,5.4534782219377174645847142861998542435921495655184992880254899368381077841438570393232719e-61,1.61660834363564857002238620471277662675353625906316074453731751851049783614302278197372835e-60,0.0,1e-50,True
81,202.493594514140534277686660637864315821020244899420053909069154150835219689452873706055018,(0.5 + 202.493594514140534277686660637864315821020244899420053909069154150835219689452873706055018j),0.5,202.493594514140534277686660637864315821020244899420053909069154150835219689452873706055018,-2.9986266773908760967281176325346706184212894227173714017551096419383455234388877496401348e-61,-6.45682569597105992167839329382215897687117848287862222011919887509138258514261657016148759e-62,-2.92828550002876660897991351346573905184463507261028252327455853147170852684955530353126543e-61,2.99862667739087609672811711280966906937115030514849510545183110696315688214690660148294737e-61,0.0,1e-50,True
82,204.189671803104554330716438386313685136534529228741907350959679958761927175079112495272816,(0.5 + 204.189671803104554330716438386313685136534529228741907350959679958761927175079112495272816j),0.5,204.189671803104554330716438386313685136534529228741907350959679958761927175079112495272816,5.37015155351305513352979849494548302779827336317059117593340908101967259701026766528350606e-61,-1.29241599579258775884767300769120890924039885938153381135790229329971200997735295585545884e-62,-5.36859612157935326198205466269786467705180870404521893583182078047458845633799224701211495e-61,5.37015155351305513352979818226142685185004322126043810162724537412585791760622042806454738e-61,0.0,1e-50,True
83,205.394697202163286025212379390693090923722914772048407002134095789063242301116365502336188,(0.5 + 205.394697202163286025212379390693090923722914772048407002134095789063242301116365502336188j),0.5,205.394697202163286025212379390693090923722914772048407002134095789063242301116365502336188,1.04147416824971301377808952811939169335008807921788297505863609046986773514235303969496505e-60,-8.86520259743694943523145599684431203196015366351451113657449597227171727711484330079748785e-61,5.46580526725388544680279911248487661219530888077197837044152334536520799038317101716836902e-61,1.04147416824971301377808956420218228684346322272130262822733405975038282125723123655964749e-60,0.0,1e-50,True
84,207.906258887806209861501967907753644268659403768883999858657527268232733127160221045527286,(0.5 + 207.906258887806209861501967907753644268659403768883999858657527268232733127160221045527286j),0.5,207.906258887806209861501967907753644268659403768883999858657527268232733127160221045527286,1.09176401605131123168566104961662552140512759731096876264692249476253327077254996203320132e-60,-2.45422500580897236214377021182651467580378629030104993250204408451587528488869730086916566e-61,-1.06382163117371667049109616070605370182023924048428715921771477858164230589512835502922332e-60,1.09176401605131123168566086191359558761642653133053888076447982087565189238782062769768734e-60,0.0,1e-50,True
85,209.576509716856259852835644289886752175390783181326162468977453728217313534443092870526,(0.5 + 209.576509716856259852835644289886752175390783181326162468977453728217313534443092870526j),0.5,209.576509716856259852835644289886752175390783181326162468977453728217313534443092870526,1.57312238665787182674814864171540274226893946947588865651009581016294011471504507690316667e-60,1.69322115553662208351249997254465307869938789436623010329325890586923580350463683844106269e-62,1.57303125958005142073068334971634039663354617954936190386406944190811008021791695509495366e-60,1.57312238665787182674814878452506607070588652058731770054493974172529286842762927066632313e-60,0.0,1e-50,True
86,211.690862595365307563907486730719294253394030982935643736210014647280618789483251880255399,(0.5 + 211.690862595365307563907486730719294253394030982935643736210014647280618789483251880255399j),0.5,211.690862595365307563907486730719294253394030982935643736210014647280618789483251880255399,5.74361723422946978395177244325953742539061106548827512441193587495960143425396585383070662e-61,-3.15832928671447660213457019976505787372461183123895999539184730704569442265329779748694992e-61,-4.79730080879023151315449598371945223543065973732734440722011233618094931690972991751749833e-61,5.74361723422946978395177169379034597206453203293240596167395087126860343381346538408488763e-61,0.0,1e-50,True
87,213.347919359712666190639122021072608821897183276633069059853704512797189391520049318239725,(0.5 + 213.347919359712666190639122021072608821897183276633069059853704512797189391520049318239725j),0.5,213.347919359712666190639122021072608821897183276633069059853704512797189391520049318239725,-1.5132200495245345229031177756466918284879300646336182548276635338994884391487191749530441e-61,-5.30247577605128469908913107593536695618265684060415151770106348232049259808662195673719793e-62,-1.41727641084120495387868143133676292565359392438414931038825291559558241466394395470941387e-61,1.51322004952453452290311722366507585544915150097862433170897370430970958161990985718046963e-61,0.0,1e-50,True
88,214.547044783491423222944201072590691045599888053083076400081619487343267637662019837277649,(0.5 + 214.547044783491423222944201072590691045599888053083076400081619487343267637662019837277649j),0.5,214.547044783491423222944201072590691045599888053083076400081619487343267637662019837277649,9.53777458490609030163325264150688680822562576240112607021988846620495792731648138366397116e-61,5.91097244169055300765196987028406675333677944767705871599023598449672457764925312361953266e-61,-7.48528882716327554004280612837214299940687910827506745003732035372662919610099538458161446e-61,9.53777458490609030163325206122971631274740572130727007683009113344696168704500744991858443e-61,0.0,1e-50,True
89,216.169538508263700265869563354498128575453714274164110976376150373517713392376925344063656,(0.5 + 216.169538508263700265869563354498128575453714274164110976376150373517713392376925344063656j),0.5,216.169538508263700265869563354498128575453714274164110976376150373517713392376925344063656,-8.49454634144839287813990611922656716615051032563381836453280045166696788482601429395351787e-61,6.87343600312423204002258660423821058330820270620825753945461742615609583961124458823309569e-61,-4.99131195758889212745229366954616079843960945528971336384455189954658266201257984034434709e-61,8.49454634144839287813990285944877468838043838798413860600585679486263120606576353459371405e-61,0.0,1e-50,True
90,219.067596349021378985677256590437241245149182927011351373557874789405604554001327399680107,(0.5 + 219.067596349021378985677256590437241245149182927011351373557874789405604554001327399680107j),0.5,219.067596349021378985677256590437241245149182927011351373557874789405604554001327399680107,8.41436753946964915337924649533605271647957172337615963116717398020604718414710961021172017e-61,-7.30839021732372452048484633924810743549398724785563345995268946875029749653762495701719605e-61,-4.17001361156140596798617579139878549011757304216238197731170832838029547303943895159484282e-61,8.41436753946964915337924512568319631262464169105282537444339925853636202762116273573761916e-61,0.0,1e-50,True
91,220.714918839314003369115592633906339656761145077661965701611932329530478167342779096474222,(0.5 + 220.714918839314003369115592633906339656761145077661965701611932329530478167342779096474222j),0.5,220.714918839314003369115592633906339656761145077661965701611932329530478167342779096474222,4.26124709124387574514111960142696468316085036439071807016319468306532279193354251888194248e-61,3.17032597689102486484604245884207979364300867513223374370503404181403431001042246273290515e-61,2.84732505571182735918578913346854342252222506094679503500947005225904979337337400294287896e-61,4.2612470912438757451411196534468393641753828725811620115870943472556872237266723169508538e-61,0.0,1e-50,True
92,221.430705554693338732097475119276077950222331077319909379419951617762066627051757411015862,(0.5 + 221.430705554693338732097475119276077950222331077319909379419951617762066627051757411015862j),0.5,221.430705554693338732097475119276077950222331077319909379419951617762066627051757411015862,-1.68346194728857403231422807966512117354399069627256910814840742132997860687183184281489554e-61,-1.44171163748323777078489685149966216340980226331286150378455313349305999841299353148322248e-61,8.69201750063838061344985183189779218513596639945837147388378600335988020081427045452565499e-62,1.68346194728857403231422873625311891662068159323747995830546686441908110386029197569294949e-61,0.0,1e-50,True
93,224.007000254604335211728875528504895356085989949595529762950360341091096607079050068266723,(0.5 + 224.007000254604335211728875528504895356085989949595529762950360341091096607079050068266723j),0.5,224.007000254604335211728875528504895356085989949595529762950360341091096607079050068266723,-9.03518030980588550106830382462994253914895018927190682885852327386089437915821219390005509e-61,-3.73610005787703152261665734729633241234668319638736952818494617709392470407055941978353049e-61,-8.22654481469804057918045681456255663678789308919591939353873954869851575790491160215220763e-61,9.03518030980588550106830307783299173491751088095321156469394313090835511403865177488101058e-61,0.0,1e-50,True
94,224.983324669582287503782523680528656772090054485587426988477752464500833305872489521676697,(0.5 + 224.983324669582287503782523680528656772090054485587426988477752464500833305872489521676697j),0.5,224.983324669582287503782523680528656772090054485587426988477752464500833305872489521676697,2.38767523307976572027928974904649869925219853463574074582046727329591846044550781096373529e-61,1.96906691250054850809921031053374575546735402038479199087606278963142788567035694136766383e-61,-1.35046973781646466184287820483524721424393759393653099950524315009669633454552617102941756e-61,2.38767523307976572027928937848205701742953618292426048295801811506407205658633061627956211e-61,0.0,1e-50,True
95,227.421444279679291310461436160659639963969148321976628364893820337332939166008489393541612,(0.5 + 227.421444279679291310461436160659639963969148321976628364893820337332939166008489393541612j),0.5,227.421444279679291310461436160659639963969148321976628364893820337332939166008489393541612,1.31168878372714176209633288828630954064614502394232209325423347040552043672341691843152823e-60,3.33824663454503238809344397752344346736992427033991011366275746613965372787013939092827315e-61,1.26849854529876230569986833704009939385118517979533424261884433919265855259761425740912558e-60,1.31168878372714176209633302220814422664147404399299731698484661189467403774802040939788156e-60,0.0,1e-50,True
96,229.337413305525348107760083306055740082752341387818517532636492787938071339655461007414599,(0.5 + 229.337413305525348107760083306055740082752341387818517532636492787938071339655461007414599j),0.5,229.337413305525348107760083306055740082752341387818517532636492787938071339655461007414599,-1.12816760346148861748713965221535149195452367446187697954730138718429805973481575234350685e-60,5.97257017496116753753254087065325538532782337768689337030205938957605694353528170201848757e-61,9.57103022956087998328591727020825681640455681229173258307898437160574734736078738811346491e-61,1.1281676034614886174871397684832740358285343733515085246994942527435977612503416566183884e-60,0.0,1e-50,True
97,231.250188700499164773806186770010372606708495843123371406806030253011793087318000815070063,(0.5 + 231.250188700499164773806186770010372606708495843123371406806030253011793087318000815070063j),0.5,231.250188700499164773806186770010372606708495843123371406806030253011793087318000815070063,-1.34776273908631862562654185514213104539995397259965643240897116587211313459430434245836218e-61,-1.02201812144641105105812982548222522550077738769718884538885632079026488469188622417696672e-61,-8.78603073238766429946981610513002711427679706092837765636381918617909071459239546697010569e-62,1.3477627390863186256265412608411732290469902124217425250384840248803230677002385970809195e-61,0.0,1e-50,True
98,231.987235253180248603771668539197862205419833994562496484726823802749573922770379357317979,(0.5 + 231.987235253180248603771668539197862205419833994562496484726823802749573922770379357317979j),0.5,231.987235253180248603771668539197862205419833994562496484726823802749573922770379357317979,1.38013656359632297476898834814776160786205188491994749441872830431187381523267866427912034e-61,1.12385774710247573421365122148778573859006444279506904395906617599560060496548568644918748e-61,-8.01074714651021141856584957135731122707056032923430245631567955543498198115704465618081135e-62,1.38013656359632297476898774000818993076463435611237099340722050032225341284711415156947241e-61,0.0,1e-50,True
99,233.693404178908300640704494732569788179537227754565836363014808857049086087741385548979702,(0.5 + 233.693404178908300640704494732569788179537227754565836363014808857049086087741385548979702j),0.5,233.693404178908300640704494732569788179537227754565836363014808857049086087741385548979702,5.10035050462725157578404703282954251652199167064191441723927016973793928301121913195800633e-61,-4.3228950441019462532354307087934067763830811955935925719674059510119381025756280317152871e-61,2.70668685069593744387848794069328455148460397333728377156707590899500302553350419534474417e-61,5.10035050462725157578404878107474581238490882334806194138056861505087306856821164922482933e-61,0.0,1e-50,True
100,236.524229665816205802475507955662978689529495212189123700918961193333194782037063212388301,(0.5 + 236.524229665816205802475507955662978689529495212189123700918961193333194782037063212388301j),0.5,236.524229665816205802475507955662978689529495212189123700918961193333194782037063212388301,-8.2103366182125173018442002125226288944778534559378151508586440135359422330953670412866346e-61,6.79054291456279616120590243856945799269589251391340826083032336090501805147968342687334825e-61,4.61499234125500588888595293334372692293956270961280928370493262845363358644731131076645872e-61,8.21033661821251730184420244540291200058162774443808358182671999438105270414722083255214482e-61,0.0,1e-50,True
